,Difficulty,ExerciseName,MuscleGroup,Reps,Score,Set
0,intermediate,Landmine twist,abdominals,1,0.05,1
1,intermediate,Landmine twist,abdominals,2,0.1,1
2,intermediate,Landmine twist,abdominals,3,0.15,1
3,intermediate,Landmine twist,abdominals,4,0.2,1
4,intermediate,Landmine twist,abdominals,5,0.25,1
5,intermediate,Landmine twist,abdominals,6,0.3,1
6,intermediate,Landmine twist,abdominals,7,0.35,1
7,intermediate,Landmine twist,abdominals,8,0.4,1
8,intermediate,Landmine twist,abdominals,9,0.45,1
9,intermediate,Landmine twist,abdominals,10,0.5,1
10,intermediate,Landmine twist,abdominals,11,0.55,1
11,intermediate,Landmine twist,abdominals,12,0.6,1
12,intermediate,Landmine twist,abdominals,13,0.55,1
13,intermediate,Landmine twist,abdominals,14,0.5,1
14,intermediate,Landmine twist,abdominals,15,0.45,1
15,intermediate,Landmine twist,abdominals,16,0.4,1
16,intermediate,Landmine twist,abdominals,17,0.35,1
17,intermediate,Landmine twist,abdominals,18,0.3,1
18,intermediate,Landmine twist,abdominals,19,0.25,1
19,intermediate,Landmine twist,abdominals,20,0.2,1
20,intermediate,Landmine twist,abdominals,21,0.15,1
21,intermediate,Landmine twist,abdominals,22,0.1,1
22,intermediate,Landmine twist,abdominals,23,0.05,1
23,intermediate,Landmine twist,abdominals,24,0,1
24,intermediate,Landmine twist,abdominals,25,-0.05,1
25,intermediate,Landmine twist,abdominals,26,-0.1,1
26,intermediate,Landmine twist,abdominals,27,-0.15,1
27,intermediate,Landmine twist,abdominals,28,-0.2,1
28,intermediate,Landmine twist,abdominals,29,-0.25,1
29,intermediate,Landmine twist,abdominals,1,0.25,2
30,intermediate,Landmine twist,abdominals,2,0.3,2
31,intermediate,Landmine twist,abdominals,3,0.35,2
32,intermediate,Landmine twist,abdominals,4,0.4,2
33,intermediate,Landmine twist,abdominals,5,0.45,2
34,intermediate,Landmine twist,abdominals,6,0.5,2
35,intermediate,Landmine twist,abdominals,7,0.55,2
36,intermediate,Landmine twist,abdominals,8,0.6,2
37,intermediate,Landmine twist,abdominals,9,0.65,2
38,intermediate,Landmine twist,abdominals,10,0.7,2
39,intermediate,Landmine twist,abdominals,11,0.75,2
40,intermediate,Landmine twist,abdominals,12,0.8,2
41,intermediate,Landmine twist,abdominals,13,0.75,2
42,intermediate,Landmine twist,abdominals,14,0.7,2
43,intermediate,Landmine twist,abdominals,15,0.65,2
44,intermediate,Landmine twist,abdominals,16,0.6,2
45,intermediate,Landmine twist,abdominals,17,0.55,2
46,intermediate,Landmine twist,abdominals,18,0.5,2
47,intermediate,Landmine twist,abdominals,19,0.45,2
48,intermediate,Landmine twist,abdominals,20,0.4,2
49,intermediate,Landmine twist,abdominals,21,0.35,2
50,intermediate,Landmine twist,abdominals,22,0.3,2
51,intermediate,Landmine twist,abdominals,23,0.25,2
52,intermediate,Landmine twist,abdominals,24,0.2,2
53,intermediate,Landmine twist,abdominals,25,0.15,2
54,intermediate,Landmine twist,abdominals,26,0.1,2
55,intermediate,Landmine twist,abdominals,27,0.05,2
56,intermediate,Landmine twist,abdominals,28,-5.55E-17,2
57,intermediate,Landmine twist,abdominals,29,-0.05,2
58,intermediate,Landmine twist,abdominals,1,0.45,3
59,intermediate,Landmine twist,abdominals,2,0.5,3
60,intermediate,Landmine twist,abdominals,3,0.55,3
61,intermediate,Landmine twist,abdominals,4,0.6,3
62,intermediate,Landmine twist,abdominals,5,0.65,3
63,intermediate,Landmine twist,abdominals,6,0.7,3
64,intermediate,Landmine twist,abdominals,7,0.75,3
65,intermediate,Landmine twist,abdominals,8,0.8,3
66,intermediate,Landmine twist,abdominals,9,0.85,3
67,intermediate,Landmine twist,abdominals,10,0.9,3
68,intermediate,Landmine twist,abdominals,11,0.95,3
69,intermediate,Landmine twist,abdominals,12,1,3
70,intermediate,Landmine twist,abdominals,13,0.95,3
71,intermediate,Landmine twist,abdominals,14,0.9,3
72,intermediate,Landmine twist,abdominals,15,0.85,3
73,intermediate,Landmine twist,abdominals,16,0.8,3
74,intermediate,Landmine twist,abdominals,17,0.75,3
75,intermediate,Landmine twist,abdominals,18,0.7,3
76,intermediate,Landmine twist,abdominals,19,0.65,3
77,intermediate,Landmine twist,abdominals,20,0.6,3
78,intermediate,Landmine twist,abdominals,21,0.55,3
79,intermediate,Landmine twist,abdominals,22,0.5,3
80,intermediate,Landmine twist,abdominals,23,0.45,3
81,intermediate,Landmine twist,abdominals,24,0.4,3
82,intermediate,Landmine twist,abdominals,25,0.35,3
83,intermediate,Landmine twist,abdominals,26,0.3,3
84,intermediate,Landmine twist,abdominals,27,0.25,3
85,intermediate,Landmine twist,abdominals,28,0.2,3
86,intermediate,Landmine twist,abdominals,29,0.15,3
87,intermediate,Landmine twist,abdominals,1,0.25,4
88,intermediate,Landmine twist,abdominals,2,0.3,4
89,intermediate,Landmine twist,abdominals,3,0.35,4
90,intermediate,Landmine twist,abdominals,4,0.4,4
91,intermediate,Landmine twist,abdominals,5,0.45,4
92,intermediate,Landmine twist,abdominals,6,0.5,4
93,intermediate,Landmine twist,abdominals,7,0.55,4
94,intermediate,Landmine twist,abdominals,8,0.6,4
95,intermediate,Landmine twist,abdominals,9,0.65,4
96,intermediate,Landmine twist,abdominals,10,0.7,4
97,intermediate,Landmine twist,abdominals,11,0.75,4
98,intermediate,Landmine twist,abdominals,12,0.8,4
99,intermediate,Landmine twist,abdominals,13,0.75,4
100,intermediate,Landmine twist,abdominals,14,0.7,4
101,intermediate,Landmine twist,abdominals,15,0.65,4
102,intermediate,Landmine twist,abdominals,16,0.6,4
103,intermediate,Landmine twist,abdominals,17,0.55,4
104,intermediate,Landmine twist,abdominals,18,0.5,4
105,intermediate,Landmine twist,abdominals,19,0.45,4
106,intermediate,Landmine twist,abdominals,20,0.4,4
107,intermediate,Landmine twist,abdominals,21,0.35,4
108,intermediate,Landmine twist,abdominals,22,0.3,4
